plan_id,subject,topic,is_synthetic,learning_outcomes,pedagogical_content_knowledge,teaching_learning_strategies,resources_including_ict,assessment_strategies_in_plan,lesson_introduction_rpk,lesson_sequencing,attention_to_all_learners,concept_explanation_examples,lesson_closure
rev_0000_v1,Mathematics,Fractions,1,3,4,2,3,4,3,2,3,2,2
rev_0000_v2,Mathematics,Fractions,1,4,4,2,4,4,3,2,3,2,3
rev_0001_v1,Integrated Science,States of Matter,1,3,2,3,1,2,2,3,2,2,1
rev_0001_v2,Integrated Science,States of Matter,1,3,2,3,2,2,3,3,3,2,1
rev_0002_v1,Integrated Science,The Water Cycle,1,3,2,2,2,3,2,1,2,3,2
rev_0002_v2,Integrated Science,The Water Cycle,1,4,2,2,2,4,2,1,2,3,3
rev_0003_v1,Mathematics,Area of Plane Shapes,1,2,3,3,3,3,1,2,1,2,2
rev_0003_v2,Mathematics,Area of Plane Shapes,1,2,3,4,3,4,1,2,1,3,2
rev_0004_v1,Mathematics,Percentages,1,2,2,1,1,2,1,2,2,2,3
rev_0004_v2,Mathematics,Percentages,1,3,3,1,1,2,1,4,2,2,3
rev_0005_v1,Mathematics,Fractions,1,1,3,1,1,3,3,3,3,2,2
rev_0005_v2,Mathematics,Fractions,1,3,3,3,1,3,3,3,3,2,3
rev_0006_v1,Mathematics,Percentages,1,2,1,2,2,2,2,1,2,3,1
rev_0006_v2,Mathematics,Percentages,1,2,1,4,2,2,2,1,3,3,2
rev_0007_v1,English Language,Comprehension Skills,1,3,3,4,3,3,2,3,2,3,2
rev_0007_v2,English Language,Comprehension Skills,1,3,3,4,3,4,2,4,2,3,3
rev_0008_v1,Integrated Science,The Water Cycle,1,1,1,1,1,1,1,1,1,2,2
rev_0008_v2,Integrated Science,The Water Cycle,1,1,1,1,2,1,1,1,2,4,2
rev_0009_v1,Integrated Science,Simple Machines,1,2,2,3,4,2,2,3,3,4,3
rev_0009_v2,Integrated Science,Simple Machines,1,2,4,3,4,2,2,4,4,4,3
rev_0010_v1,Mathematics,Area of Plane Shapes,1,1,1,2,2,2,1,1,1,1,2
rev_0010_v2,Mathematics,Area of Plane Shapes,1,2,2,2,2,2,1,1,2,1,2
rev_0011_v1,Integrated Science,Photosynthesis,1,1,1,1,2,2,1,1,1,1,2
rev_0011_v2,Integrated Science,Photosynthesis,1,1,1,1,3,2,2,1,2,1,2
rev_0012_v1,English Language,Nouns and Pronouns,1,1,1,1,1,2,1,1,1,1,1
rev_0012_v2,English Language,Nouns and Pronouns,1,3,1,1,1,2,2,1,2,1,1
rev_0013_v1,Mathematics,Fractions,1,3,3,4,3,3,3,4,3,2,3
rev_0013_v2,Mathematics,Fractions,1,3,3,4,4,4,4,4,3,2,3
rev_0014_v1,Integrated Science,The Water Cycle,1,2,2,3,2,1,3,2,1,3,2
