pair_id,before_plan_id,after_plan_id,improved_criteria,overall_before,overall_after,overall_delta
rev_0000,rev_0000_v1,rev_0000_v2,learning_outcomes|lesson_closure|resources_including_ict,64.0,73.67,9.67
rev_0001,rev_0001_v1,rev_0001_v2,attention_to_all_learners|lesson_introduction_rpk|resources_including_ict,41.67,51.0,9.33
rev_0002,rev_0002_v1,rev_0002_v2,assessment_strategies_in_plan|learning_outcomes|lesson_closure,41.67,53.33,11.67
rev_0003,rev_0003_v1,rev_0003_v2,assessment_strategies_in_plan|concept_explanation_examples|teaching_learning_strategies,41.33,51.67,10.33
rev_0004,rev_0004_v1,rev_0004_v2,learning_outcomes|lesson_sequencing|pedagogical_content_knowledge,25.0,40.33,15.33
rev_0005,rev_0005_v1,rev_0005_v2,learning_outcomes|lesson_closure|teaching_learning_strategies,39.33,59.67,20.33
rev_0006,rev_0006_v1,rev_0006_v2,attention_to_all_learners|lesson_closure|teaching_learning_strategies,26.67,39.67,13.0
rev_0007,rev_0007_v1,rev_0007_v2,assessment_strategies_in_plan|lesson_closure|lesson_sequencing,62.33,72.0,9.67
rev_0008,rev_0008_v1,rev_0008_v2,attention_to_all_learners|concept_explanation_examples|resources_including_ict,3.33,12.67,9.33
rev_0009,rev_0009_v1,rev_0009_v2,attention_to_all_learners|lesson_sequencing|pedagogical_content_knowledge,54.33,67.67,13.33
rev_0010,rev_0010_v1,rev_0010_v2,attention_to_all_learners|learning_outcomes|pedagogical_content_knowledge,13.0,25.0,12.0
rev_0011,rev_0011_v1,rev_0011_v2,attention_to_all_learners|lesson_introduction_rpk|resources_including_ict,9.0,18.33,9.33
rev_0012,rev_0012_v1,rev_0012_v2,attention_to_all_learners|learning_outcomes|lesson_introduction_rpk,4.67,22.0,17.33
rev_0013,rev_0013_v1,rev_0013_v2,assessment_strategies_in_plan|lesson_introduction_rpk|resources_including_ict,72.33,83.0,10.67
rev_0014,rev_0014_v1,rev_0014_v2,attention_to_all_learners|lesson_closure|teaching_learning_strategies,34.33,43.33,9.0
rev_0015,rev_0015_v1,rev_0015_v2,concept_explanation_examples|lesson_sequencing|resources_including_ict,72.33,80.0,7.67
rev_0016,rev_0016_v1,rev_0016_v2,attention_to_all_learners|learning_outcomes|resources_including_ict,7.33,24.0,16.67
rev_0017,rev_0017_v1,rev_0017_v2,concept_explanation_examples|lesson_closure|lesson_sequencing,40.0,48.33,8.33
rev_0018,rev_0018_v1,rev_0018_v2,assessment_strategies_in_plan|concept_explanation_examples|pedagogical_content_knowledge,72.33,82.0,9.67
rev_0019,rev_0019_v1,rev_0019_v2,assessment_strategies_in_plan|resources_including_ict|teaching_learning_strategies,28.67,40.0,11.33
rev_0020,rev_0020_v1,rev_0020_v2,assessment_strategies_in_plan|attention_to_all_learners|concept_explanation_examples,71.0,80.67,9.67
rev_0021,rev_0021_v1,rev_0021_v2,attention_to_all_learners|concept_explanation_examples|pedagogical_content_knowledge,8.33,23.33,15.0
rev_0022,rev_0022_v1,rev_0022_v2,assessment_strategies_in_plan|concept_explanation_examples|resources_including_ict,61.0,70.0,9.0
rev_0023,rev_0023_v1,rev_0023_v2,learning_outcomes|resources_including_ict|teaching_learning_strategies,3.33,19.33,16.0
rev_0024,rev_0024_v1,rev_0024_v2,attention_to_all_learners|lesson_closure|lesson_sequencing,41.67,58.33,16.67
rev_0025,rev_0025_v1,rev_0025_v2,assessment_strategies_in_plan|attention_to_all_learners|resources_including_ict,32.0,42.67,10.67
rev_0026,rev_0026_v1,rev_0026_v2,assessment_strategies_in_plan|resources_including_ict|teaching_learning_strategies,66.0,77.33,11.33
rev_0027,rev_0027_v1,rev_0027_v2,attention_to_all_learners|lesson_closure|lesson_introduction_rpk,28.67,40.33,11.67
rev_0028,rev_0028_v1,rev_0028_v2,attention_to_all_learners|lesson_introduction_rpk|resources_including_ict,17.0,33.0,16.0
rev_0029,rev_0029_v1,rev_0029_v2,assessment_strategies_in_plan|concept_explanation_examples|lesson_sequencing,0.0,14.67,14.67
rev_0030,rev_0030_v1,rev_0030_v2,assessment_strategies_in_plan|lesson_closure|teaching_learning_strategies,31.33,50.33,19.0
rev_0031,rev_0031_v1,rev_0031_v2,learning_outcomes|lesson_closure|resources_including_ict,73.33,83.0,9.67
rev_0032,rev_0032_v1,rev_0032_v2,assessment_strategies_in_plan|concept_explanation_examples|lesson_introduction_rpk,61.0,70.67,9.67
rev_0033,rev_0033_v1,rev_0033_v2,concept_explanation_examples|learning_outcomes|lesson_closure,21.67,30.33,8.67
rev_0034,rev_0034_v1,rev_0034_v2,concept_explanation_examples|lesson_introduction_rpk|lesson_sequencing,7.67,24.33,16.67
rev_0035,rev_0035_v1,rev_0035_v2,assessment_strategies_in_plan|concept_explanation_examples|lesson_closure,31.0,40.67,9.67
rev_0036,rev_0036_v1,rev_0036_v2,assessment_strategies_in_plan|attention_to_all_learners|lesson_closure,12.0,25.0,13.0
rev_0037,rev_0037_v1,rev_0037_v2,concept_explanation_examples|lesson_sequencing|teaching_learning_strategies,37.0,49.33,12.33
rev_0038,rev_0038_v1,rev_0038_v2,learning_outcomes|lesson_closure|teaching_learning_strategies,71.33,82.33,11.0
rev_0039,rev_0039_v1,rev_0039_v2,attention_to_all_learners|concept_explanation_examples|lesson_introduction_rpk,13.0,28.0,15.0
